a	阿
cầu	求
cầuXin	求吀
cận	近
cậnThị	近視
cậnĐại	近代
cập	及
cắt	割
cổ	古
cổĐiển	古典
cộng	共
cộngHoà	共和
cộngSản	共産
cộngĐồng	共同
cờ	旗	碁
của	𧵑
củaCông	𧵑公
cứ	拠
cứu	究
cứĐiểm	拠點
cử	舉
cửHành	舉行
cửNhân	舉人
cửa	𨴦	𨷶
cửaHàng	𨴦行	𨷶行
cửaSổ	𨴦数	𨷶数
da	䏧
daThuộc	䏧屬
danh	名
danhTừ	名詞
do	由
doanh	营	營
doanhNghiệp	营業	營業
doanhSố	营数	營数
duyNhất	唯一
dài	𨱽
dân	民
dânChủ	民主
dânCử	民舉
dânQuyền	民权	民權
dânSố	民数
dânSự	民事
dânVệ	民衛
dây	絏
dâyĐiện	絏電
dãy	𧿆
dãyNúi	𧿆𡶀
dù	𠶢
dùRằng	𠶢浪	𠶢哴
dùSao	𠶢牢
dùng	用
dương	洋
dưới	𤲂
dược	藥
dượcHọc	藥学	藥學
dượcLiệu	藥料
dượcPhòng	藥房
dượcPhẩm	藥品
dượcSĩ	藥士
dượcĐiển	藥典
dạ	唯
dạVâng	唯𠳐
dạy	𠰺
dạyBảo	𠰺保
dạyHọc	𠰺学	𠰺學
dầu	油
dầuĂn	油咹	油𩛖
dắt	𢩮
dễ	易
dễThương	易傷
dễThường	易常
dịch	譯
dịchVụ	役務
dụng	用
dự	預
dựBáo	預報
dựChi	預支
dựKiến	預見
dựa	豫
dựaTrên	豫𨕭
dựng	𥩯
dựÁn	預案
dựĐịnh	預定
em	㛪
emBé	㛪𡮣
gia	家	加
giaCảnh	家景
giaNhập	加入
giaVị	加味
gian	間
giao	交
giaoHàng	交行
giaĐình	家庭
giaĐìnhBênNội	家庭边内
giaĐìnhTrị	家庭治
già	𦓅
giàCả	𦓅哿
giàYếu	𦓅要
giàĐời	𦓅𠁀
giá	价	價
giáMắt	价眜	價眜
giáThịTrường	价市場	價市場
giáTrị	价値	價値
giáo	教
giáoSư	教師
giáoViên	教員
giáoVụ	教務
giáoĐường	教堂
giáp	夾
giápChiến	夾戰
giápGiới	夾界
giápHạt	夾籺
giápMặt	夾𩈘
gió	𩙌	𩙋
gióMưa	𩙌𩅹	𩙋𩅹
gióTrăng	𩙌𦝄	𩙋𦝄
gióĐông	𩙌東	𩙋東
giúp	𠢞
giúpĐỡ	𠢞拖
giải	解
giảiNghĩa	解義
giảiQuyết	解決
giảiThích	解釋
giấy	紙
giấyBáo	紙報
giấyBạc	紙鉑
giấyIn	紙印
giấyViếtThư	紙曰書
giấyĐánhMáy	紙打𣛠
giấyẢnh	紙影
giới	界
giớiHạn	界限
giờ	𣇞
giờLàmViệc	𣇞爫役
giờĐây	𣇞低
giữ	𡨹
giữLòng	𡨹𢚸
giữLời	𡨹𠳒
giữMiệng	𡨹𠰘
giữa	𡨌
giữÝ	𡨹意
gái	𡛔
gây	𢲧
gâyChiến	𢲧戰
gâyChuyện	𢲧𡀯
gâyDựng	𢲧𥩯
gì	之	咦
gấp	急
gần	𧵆
gầnXa	𧵆賖
gọi	噲
gọiCửa	噲𨴦	噲𨷶
gọiLà	噲羅
hai	𠄩
hay	咍
hayLà	咍羅
hayQuá	咍過
haySao	咍牢
hiểm	險
hiểu	曉
hiểuBiết	曉别
hiện	現
hiệnNay	現𠉞
hiệnTiền	現前
hiệnTại	現在
hiệnĐại	現代
hoa	花	華
hoaKỳ	花旗
hoaTrà	花茶
hoà	和
hoàBình	和平
hoá	化
hoáHọc	化学	化學
hoáTrị	化値
hoặc	或
hoặcLà	或羅
hà	河
hàNội	河内
hàng	行	航
hàngChữ	行𡦂	行𡨸
hàngHải	航海
hàngKhông	航空
hànhKhách	行客
hán	漢
hánViệt	漢越
hánVăn	漢文
hãng	行
hình	形
hìnhThành	形成
hìnhẢnh	形影
hòn	𡉕
hònĐảo	𡉕島
hôm	歆	𣋚
hômNay	歆𠉞	𣋚𠉞
hômQua	歆戈	𣋚戈
hômSau	歆𡢐	𣋚𡢐
hômXưa	歆𠸗	𣋚𠸗
hơn	欣
hương	香	鄉
hươngLiệu	香料
hươngTục	鄉俗
hươngVị	香味
hưởng	響
hạch	核
hạchNhân	核仁
hạn	限
hạnh	幸	杏
hạnhNhân	杏仁
hạtChâu	籺珠
hạtMưa	籺𩅹
hạtSen	籺蓮
hạtTiêu	籺椒
hải	海
hảiKhẩu	海口
hảiNam	海南
hảiNgoại	海外
hảiQuan	海関	海關
hảiQuân	海軍
hận	恨
hậu	後
hậuThuộcĐịa	後屬地
hậuĐường	後堂
hết	歇
hếtCả	歇哿
hệ	係	系
hệSố	係数
hệThống	系統
họ	户	戶
học	学	學
họcHành	学行	學行
họcSinh	学生	學生
họcThuộcLòng	学屬𢚸	學屬𢚸
họcViện	学院	學院
họcVấn	学問	學問
họcĐường	学堂	學堂
hỏi	𠳨
hối	悔
hốiHận	悔恨
hốiTiếc	悔惜
hồng	紅
hồngHà	紅河
hồngThậpTự	紅十字
hỗ	互
hỗTrợ	互助
hộKhẩu	户口	戶口
hội	会	會
hộp	盒
hộpThư	盒書
hột	籺
hợp	合
hợpBang	合邦
hợpDoanh	合营	合營
hợpPhần	合分
in	印
khi	欺
khiNào	欺芇
khoa	科
khoaHọc	科学	科學
khoaTrưởng	科長
khoẻ	劸
khu	區
khuPhố	區鋪
khuVực	區域
khác	恪
khácBiệt	恪别
khácThường	恪常
khách	客
kháchĐịa	客地
khí	氣
khó	𧁷
khóKhăn	𧁷巾
khóLòng	𧁷𢚸
không	空
khôngBaoGiờ	空包𣇞
khôngGì	空之	空咦
khôngKhí	空氣
khôngKể	空計	空𠸥
khôngSao	空牢
khôngThể	空体	空體
khăn	巾
khảo	考
khảoCứu	考究
khảoTra	考查
khẩu	口
khẩuPhần	口分
khắp	泣
khắpNơi	泣坭
khổ	苦
khổng	孔
khổngGiáo	孔教
khổngTử	孔子
kinh	経	經
kinhDoanh	経营	經營
kinhSử	経史	經史
kinhTài	経財	經財
kinhTế	経济	經濟
kiếm	劍
kiếmThuật	劍朮	劍術
kiến	見
kiện	件
kêu	叫	呌
kêuCầu	叫求	呌求
kêuGọi	叫噲	呌噲
kêuTrời	叫𡗶	呌𡗶
kết	結
kếtHợp	結合
kếtQuả	結果
kể	計	𠸥
kểRa	計𦋦	𠸥𦋦
kểTrên	計𨕭	𠸥𨕭
kỳ	奇	期	圻
kỷ	紀
kỷNguyên	紀元
lan	蘭
liên	連	聯
liênBang	聯邦
liênDoanh	聯营	聯營
liênHệ	聯係
liênHợp	聯合
liênKết	連結
liênQuan	聯関	聯關
liênTỉnh	聯省
liệu	料
long	龍
loại	類
luận	論
luậnCứ	論拠
luậnNgữ	論語
luậnĐề	論題
luật	律
luậtSư	律師
là	羅
làm	爫
làmCho	爫朱
làmGiấy	爫紙
làmGì	爫之	爫咦
làmKhách	爫客
làmSao	爫牢
làmViệc	爫役
lâm	林
lâmHọc	林学	林學
lãnh	領
lãnhSự	領事
lên	𨖲
lòng	𢚸
lúc	𣅶
lúcNày	𣅶尼	𣅶呢
lý	李	理
lýDo	理由
lượng	量
lại	吏	ヌ
lấy	𥙩
lần	吝
lầnĐầu	吝頭
lầnĐầuTiên	吝頭先
lập	立
lắm	𡗋
lễ	礼	禮
lễGiáo	礼教	禮教
lễTrungThu	礼中秋	禮中秋
lịch	歷	厤	曆
lịchSử	歷史
lỗi	纇
lớn	𡘯
lời	𠳒
lửa	焒
lửaLòng	焒𢚸
lửaTình	焒情
lực	力
lựcLượng	力量
mai	埋
maiMột	埋𠬠
minh	明
miền	沔
miềnBắc	沔北
miềnNam	沔南
miềnTrung	沔中
mua	𧷸
muốn	悶	㦖
mà	麻	𦓡
màu	牟
màuSắc	牟色
màuXanhDaTrời	牟撑䏧𡗶	牟𩇢䏧𡗶
má	媽
máu	𧖱
máuTham	𧖱貪
máy	𣛠
máyBay	𣛠𠖤
mây	𩄲
mình	𠵴
môi	媒
môiTrường	媒場
môiTrườngHọc	媒場学	媒場學
mùi	味
mưa	𩅹
mười	𨑮
mạng	命
mạngNgười	命𠊛
mạnh	孟
mạnhKhoẻ	孟劸
mất	𠅍
mấtDạy	𠅍𠰺
mấy	𠇍
mắt	眜
mặc	默
mặcCảm	默感
mặcDù	默𠶢
mặcDầu	默𠶢
mặt	𩈘
mặtTiền	𩈘前
mặtTrăng	𩈘𦝄
mặtTrận	𩈘陣
mẹ	媄
mọi	𤞦
mọiNgười	𤞦𠊛
mỗi	每
một	𠬠	没
mộtCái	𠬠丐
mộtDược	没藥
mộtLúc	𠬠𣅶
mộtLần	𠬠吝
mộtNghìn	𠬠𠦳
mộtTriệu	𠬠兆
mộtTrăm	𠬠𤾓
mộtVạn	𠬠万	𠬠萬
mộtÍt	𠬠𠃣
mới	㵋
mớiĐây	㵋低
mục	目
mỹ	美
mỹThuật	美朮	美術
nam	南
namDương	南洋
namKỳ	南圻
nay	𠉞
ngay	𣦍
ngayKhi	𣦍欺
ngayNgắn	𣦍𥐉
ngayThật	𣦍實
nghe	𦖑
ngheLời	𦖑𠳒
nghiên	研
nghiênCứu	研究
nghiênCứuSinh	研究生
nghiệp	業
nghìn	𠦳
nghĩa	義
nghĩaVụ	義務
nghề	芸	藝
nghềNghiệp	芸業	藝業
nghệThuật	芸朮	藝術
ngon	𤯆
ngonMiệng	𤯆𠰘
ngonMắt	𤯆眜
ngoài	外
ngoàiGiao	外交
ngoàiMiệng	外𠰘
ngoạiQuốc	外國
nguy	危
nguyHiểm	危險
nguyên	元
nguyênNiên	元年
nguyênÂm	元音
nguyễn	阮
ngài	𠊚
ngàn	𠦳
ngày	𣈜
ngàyLễ	𣈜礼	𣈜禮
ngàyNay	𣈜𠉞
ngàySau	𣈜𡢐
ngàyTháng	𣈜𣎃
ngàyThường	𣈜常
ngàyXưa	𣈜𠸗
ngân	銀
ngânHàng	銀行
ngânHàngMáu	銀行𧖱
ngói	瓦
ngôn	言
ngônNgữ	言語
ngũ	五
ngũThường	五常
người	𠊛
ngườiTa	𠊛些
ngườiViệt	𠊛越
ngườiXưa	𠊛𠸗
ngắn	𥐉
ngủ	𥄬
ngủNgon	𥄬𤯆
ngữ	語
ngữHệ	語系
nhau	膮
nhiên	然
nhiêu	饒
nhiều	𡗉
nhiềuKhi	𡗉欺
nhiềuLời	𡗉𠳒
nhà	茹
nhàCửa	茹𨴦	茹𨷶
nhàHàng	茹行
nhàKhách	茹客
nhàNước	茹渃
nhàTrẻ	茹𥘷
nhàTôi	茹碎	茹倅
nhàVua	茹𤤰
nhàVăn	茹文
nhàỞ	茹於
nhân	人	仁
nhânDân	人民
nhânLoại	人類
nhânLoạiHọc	人類学	人類學
nhânNghĩa	仁義
nhânTạo	人造
nhânViên	人員
nhânĐức	人德
nhì	二
nhìn	𥆾
nhìnThấy	𥆾𧡊
nhóm	呫
như	如
nhưCũ	如𫇰
nhưKhông	如空
nhưLà	如羅
nhưThế	如勢
nhưThếNào	如勢芇
nhưVậy	如丕
nhưng	仍
nhưngMà	仍麻	仍𦓡
nhạc	樂
nhất	一
nhấtLà	一羅
nhấtĐịnh	一定
nhận	認
nhậnBiết	認别
nhậnLời	認𠳒
nhậnMặt	認𩈘
nhậnRa	認𦋦
nhập	入
nhậpCuộc	入局
nhậpCảnh	入景
nhậpHọc	入学	入學
nhậpHội	入会	入會
nhậpKhẩu	入口
nhậpNội	入内
nhật	日
nhậtDụng	日用
nhịNguyên	二元
nhỏ	𡮈
nhỏTuổi	𡮈歲
nhỏYếu	𡮈要
nhớ	𢖵
nhớLại	𢖵吏
nhớNhà	𢖵茹
nhớRa	𢖵𦋦
nhớThương	𢖵傷
nhớTiếc	𢖵惜
nhớĐời	𢖵𠁀
những	仍
niên	年
niênThiếu	年少
non	嫩	𡽫
nonNước	𡽫渃
nonTrẻ	嫩𥘷
nào	芇
này	尼	呢
nên	𢧚
nênNgười	𢧚𠊛
nó	奴	伮
nói	吶	呐
nóiChuyện	吶𡀯	呐𡀯
nóiChơi	吶𨔈	呐𨔈
nóiLà	吶羅	呐羅
nôm	喃
núi	𡶀
núiLửa	𡶀焒
núiNon	𡶀𡽫
năm	𠄼	𢆥
nămXưa	𢆥𠸗
năng	能
năngLượng	能量
năngLực	能力
năngĐộng	能動
nơi	坭
nước	渃
nướcHoa	渃花
nướcMắt	渃眜
nướcNgoài	渃外
nướcSôi	渃炊
nướcTrà	渃茶
nướcViệt	渃越
nướcĐa	渃𥒥
nếu	𠮩	𡀮
nếuKhông	𠮩空	𡀮空
nội	内
nộiNăng	内能
nộiTrị	内治
nộiTại	内在
nộiVụ	内務
nộiĐường	内堂
nộiĐịa	内地
nữ	女
nữHọcĐường	女学堂	女學堂
nữThần	女神
nữa	女
phi	飛
phiCơ	飛机	飛機
phiKiếm	飛劍
phiTrường	飛場
phiĐội	飛隊
pháp	法
phápQuyền	法权	法權
phápThuộc	法屬
phápTrị	法治
phát	發
phátHiện	發現
phátTiết	發節
phátTriển	發展
phátVấn	發問
phân	分
phânBiệt	分别
phânBố	分佈
phânChia	分𢺺
phânLoại	分類
phânLoạiHọc	分類学	分類學
phèn	𥽢
phòng	房	防
